CASEID,provincp,rpincear,rpagegrp,rpsex,rphighestedp,spincear,spagegrp,spsexp,sphighestedp,ch04toip,ch517toip,y1824toip,m301,m302tot,m308,totexpen
 3757,10,  67000, 3,2,8,      0,99,9,9,0,0,0,    0,    0,    0,  75801
 2650,10,  48000, 2,1,7,      0,99,9,9,0,0,1, 2100,  600, 1500,  61511
  832,10,  30000, 4,1,7,  35000, 4,2,7,0,1,0,  100,  100,    0,  43010
 2565,10,  69000, 4,1,8,      0, 3,2,7,1,1,0,  100,  100,    0, 120101
 4343,10,  22000, 3,2,8,      0,99,9,9,0,0,0, 1500,    0, 1500,  38586
 2500,10, 110000, 3,2,7,  90000, 2,1,7,0,0,0,    0,    0,    0, 126603
 1760,10,      0, 8,1,2,      0, 7,2,2,0,0,0,    0,    0,    0, 103622
 3922,10,  35000, 2,2,7,  45000, 2,1,7,0,0,0,    0,    0,    0,  71187
 1517,10,  25000, 2,1,5,  35000, 2,2,5,1,0,0,    0,    0,    0,  96812
 2003,10,  23000, 8,2,2,      0,99,9,9,0,0,2,    0,    0,    0,  46051
 2031,10,  23000, 9,2,3,      0,99,9,9,0,0,0,    0,    0,    0,  43855
 1827,10,      0,12,2,3,      0,99,9,9,0,0,0,    0,    0,    0,  18736
 4453,10,   8000, 5,2,6,  40000, 4,1,3,0,2,1, 2090,  740, 1350,  92188
 3815,10,  95000, 3,1,7,      0,99,9,9,0,0,0,    0,    0,    0, 100299
 1980,10,      0, 7,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  12707
 2681,10,  72000, 8,1,5,  12000, 8,2,7,0,0,0,    0,    0,    0,  85446
 1828,10,      0,11,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  45848
 3923,10,      0, 2,1,7,  42000, 2,2,7,0,0,0,    0,    0,    0,  54162
 1817,10,      0,11,1,3,  32000,10,2,2,0,0,0,    0,    0,    0,  36693
 1919,10,      0,10,1,7,      0,10,2,6,0,0,0,    0,    0,    0,  82321
 2245,10,      0, 5,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  10153
 4344,10,  20000, 2,2,5,      0,99,9,9,0,0,0,    0,    0,    0,  13320
 1376,10,  65000, 5,2,7,      0,99,9,9,0,2,0, 2649, 1175, 1200,  77883
 2373,10, 100000, 5,1,8,  35000, 5,2,7,0,2,0, 8500,  500,    0, 145781
 1950,10,  40000, 9,1,7,  20000, 9,2,5,0,0,0,    0,    0,    0, 103891
 1829,10,      0,11,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  19982
 1472,10,      0, 9,1,8,      0, 9,2,5,0,0,0,    0,    0,    0,  72365
 1818,10,      0, 9,1,5,   5000,10,2,7,0,0,0,    0,    0,    0,  39763
  463,10, 170000, 8,1,8,  36000, 8,2,8,0,0,0,    0,    0,    0, 150038
 2263,10,  46000, 7,2,7,  46000, 7,1,2,0,0,0,    0,    0,    0,  65928
 1473,10,      0, 8,1,1,      0,99,9,9,0,1,0,    0,    0,    0,  12783
 2121,10,   4300, 7,1,7,      0,99,9,9,0,0,0,    0,    0,    0,  35867
  500,10, 250000, 7,1,8,  60000, 8,2,5,0,1,0, 7200,  200, 6000, 291299
 3728,10,  34000, 2,1,7,      0,99,9,9,0,0,0,    0,    0,    0,  26926
 5163,10,  50000, 7,1,1,      0,99,9,9,0,0,1,    0,    0,    0,  84792
 1830,10,      0,10,2,3,      0,99,9,9,0,0,0,    0,    0,    0,  63283
 1675,10,      0, 9,1,5,      0,10,2,5,0,0,0,    0,    0,    0,  83420
 1819,10,  27000, 7,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  46330
 1324,10,      0, 5,2,5,      0,99,9,9,0,2,0,    0,    0,    0,  42490
 1406,10,      0, 9,2,8,      0,99,9,9,0,0,0,    0,    0,    0,  14367
  995,10,  22000, 3,2,1,      0,99,9,9,0,1,0,    0,    0,    0,  33438
 1894,10,  40000, 1,2,5,      0,99,9,9,0,0,2,    0,    0,    0,  27712
 1430,10,   3000, 1,2,0,      0,99,9,9,0,0,2, 3880,  580, 3300,  23789
 2165,10,  10000, 4,1,8,   5000, 4,2,8,0,0,0, 3400,  100, 3300,  35020
 1370,10,   4000, 1,2,0,      0,99,9,9,0,0,1, 3900, 1100, 2400,  19659
 1442,10,  53000, 1,2,4,      0,99,9,9,0,0,1,    0,    0,    0,  48319
 1681,10,  60000, 7,2,3,      0,99,9,9,0,0,2, 1150, 1150,    0,  85928
   16,10,  20000, 5,2,7, 110000, 4,1,0,0,1,0,    0,    0,    0,  99228
 2172,10,  50000, 4,1,5,      0,99,9,9,0,0,0,    0,    0,    0,  38718
 1981,10,    400, 6,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  10289
 1407,10,      0, 9,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  15921
 1465,10,      0, 1,2,1,      0,99,9,9,1,0,1,    0,    0,    0,  13631
   38,10,  25000, 5,1,2,      0,99,9,9,1,0,0,    0,    0,    0,  40161
 2204,10,  45000, 7,2,3,      0,99,9,9,0,0,1,    0,    0,    0,  48232
 2095,10,  39000, 7,2,2,      0,99,9,9,0,0,0,    0,    0,    0,  59347
 1284,10,  10000, 8,1,3,      0,99,9,9,0,0,0,    0,    0,    0,  23662
 4732,10, 110000, 7,1,2,  69000, 7,2,3,0,0,1, 3400,  900, 2200, 194821
 1353,10,  26000, 9,1,1,  53000, 9,2,2,0,0,0,    0,    0,    0,  60067
 1831,10,      0,13,2,1,      0,99,9,9,0,0,0,    0,    0,    0,  16148
 1317,10,      0, 1,2,1,      0,99,9,9,1,1,1,    0,    0,    0,  29690
 1676,10,  32000, 8,2,3,  14000, 8,1,3,0,0,0,    0,    0,    0,  65330
 1431,10,   2400, 1,2,2,      0,99,9,9,0,0,2,    0,    0,    0,  16133
 4345,10,  15000, 2,1,3,      0,99,9,9,0,0,0, 4800,  800, 4000,  25355
 2250,10,  85000, 5,2,3,  86000, 5,1,3,0,0,0,    0,    0,    0, 181359
 2246,10,  30000, 6,1,3,  55000, 6,2,3,0,2,0, 1650,  350,  500,  97759
 1354,10,  68000, 3,1,2,  45000, 4,2,8,0,0,0,    0,    0,    0,  80193
 1771,10,   6800, 1,1,2,      0,99,9,9,0,0,2, 4500,  500, 4000,  50675
 4563,10,  10000, 1,2,2,      0,99,9,9,0,0,2,20400, 3400,17000,  87956
 1982,10,  64000, 6,1,7,  79000, 6,2,7,0,0,0,    0,    0,    0, 123942
 3808,10,  22000, 2,1,7,  80000, 2,2,7,0,0,0,    0,    0,    0, 101096
 4391,10,  15000, 2,1,5,  25000, 2,2,5,0,0,0, 4500,  500, 4000,  40914
 2137,10,  17000, 6,2,5,  54000, 6,1,5,0,0,1, 6300, 1300, 5000,  73887
 2374,10,  42000, 6,1,5,  66000, 4,2,8,0,2,0,    0,    0,    0, 122390
 2205,10,  23000, 4,1,1,      0,99,9,9,0,0,0,    0,    0,    0,  25856
 2592,10,  45000, 9,2,8,      0,99,9,9,0,0,0, 1800,  150, 1650,  66920
 2566,10,  72000, 9,1,2,      0,99,9,9,0,0,0,    0,    0,    0, 110806
 2762,10,  98000, 5,1,3,   7200, 4,2,3,2,1,0,  400,  200,    0, 167740
 2582,10,  45000, 2,2,7, 110000, 2,1,8,0,0,0,    0,    0,    0,  96494
 1110,10,  35000, 3,2,7,  50000, 3,1,7,1,0,0,    0,    0,    0,  55567
  442,10,  31000, 3,2,6,      0,99,9,9,1,0,0,   20,   20,    0,  43298
